file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,200,css,d1e8258e,Angel Tinoco,2025-04-11,22:24:54,-07:00,2025-04-11T22:24:54-07:00,0,10
style.css,201,css,d1e8258e,Angel Tinoco,2025-04-11,22:24:54,-07:00,2025-04-11T22:24:54-07:00,0,0
style.css,202,css,d1e8258e,Angel Tinoco,2025-04-11,22:24:54,-07:00,2025-04-11T22:24:54-07:00,0,0
style.css,203,css,61d4a1c0,Angel Tinoco,2025-05-03,01:26:03,-07:00,2025-05-03T01:26:03-07:00,0,39
style.css,204,css,61d4a1c0,Angel Tinoco,2025-05-03,01:26:03,-07:00,2025-05-03T01:26:03-07:00,0,23
style.css,205,css,61d4a1c0,Angel Tinoco,2025-05-03,01:26:03,-07:00,2025-05-03T01:26:03-07:00,0,39
style.css,206,css,d1e8258e,Angel Tinoco,2025-04-11,22:24:54,-07:00,2025-04-11T22:24:54-07:00,0,11
style.css,207,css,d1e8258e,Angel Tinoco,2025-04-11,22:24:54,-07:00,2025-04-11T22:24:54-07:00,0,16
style.css,208,css,d1e8258e,Angel Tinoco,2025-04-11,22:24:54,-07:00,2025-04-11T22:24:54-07:00,0,13
style.css,209,css,d1e8258e,Angel Tinoco,2025-04-11,22:24:54,-07:00,2025-04-11T22:24:54-07:00,0,15
style.css,210,css,d1e8258e,Angel Tinoco,2025-04-11,22:24:54,-07:00,2025-04-11T22:24:54-07:00,0,10
style.css,211,css,d1e8258e,Angel Tinoco,2025-04-11,22:24:54,-07:00,2025-04-11T22:24:54-07:00,0,10
style.css,212,css,d1e8258e,Angel Tinoco,2025-04-11,22:24:54,-07:00,2025-04-11T22:24:54-07:00,0,0
style.css,213,css,d1e8258e,Angel Tinoco,2025-04-11,22:24:54,-07:00,2025-04-11T22:24:54-07:00,0,0
style.css,214,css,d1e8258e,Angel Tinoco,2025-04-11,22:24:54,-07:00,2025-04-11T22:24:54-07:00,0,14
style.css,215,css,d2d5f6a3,Angel Tinoco,2025-04-18,18:57:39,-07:00,2025-04-18T18:57:39-07:00,0,70
style.css,216,css,d1e8258e,Angel Tinoco,2025-04-11,22:24:54,-07:00,2025-04-11T22:24:54-07:00,0,18
style.css,217,css,d1e8258e,Angel Tinoco,2025-04-11,22:24:54,-07:00,2025-04-11T22:24:54-07:00,0,18
style.css,218,css,d1e8258e,Angel Tinoco,2025-04-11,22:24:54,-07:00,2025-04-11T22:24:54-07:00,0,0
style.css,219,css,bf18d0aa,Angel Tinoco,2025-04-18,18:46:45,-07:00,2025-04-18T18:46:45-07:00,0,0
style.css,220,css,bf18d0aa,Angel Tinoco,2025-04-18,18:46:45,-07:00,2025-04-18T18:46:45-07:00,0,39
style.css,221,css,bf18d0aa,Angel Tinoco,2025-04-18,18:46:45,-07:00,2025-04-18T18:46:45-07:00,0,27
style.css,222,css,bf18d0aa,Angel Tinoco,2025-04-18,18:46:45,-07:00,2025-04-18T18:46:45-07:00,0,39
style.css,223,css,bf18d0aa,Angel Tinoco,2025-04-18,18:46:45,-07:00,2025-04-18T18:46:45-07:00,0,60
style.css,224,css,bf18d0aa,Angel Tinoco,2025-04-18,18:46:45,-07:00,2025-04-18T18:46:45-07:00,0,14
style.css,225,css,bf18d0aa,Angel Tinoco,2025-04-18,18:46:45,-07:00,2025-04-18T18:46:45-07:00,0,18
style.css,226,css,bf18d0aa,Angel Tinoco,2025-04-18,18:46:45,-07:00,2025-04-18T18:46:45-07:00,0,9
style.css,227,css,bf18d0aa,Angel Tinoco,2025-04-18,18:46:45,-07:00,2025-04-18T18:46:45-07:00,0,11
style.css,228,css,bf18d0aa,Angel Tinoco,2025-04-18,18:46:45,-07:00,2025-04-18T18:46:45-07:00,0,14
style.css,229,css,bf18d0aa,Angel Tinoco,2025-04-18,18:46:45,-07:00,2025-04-18T18:46:45-07:00,0,20
style.css,230,css,bf18d0aa,Angel Tinoco,2025-04-18,18:46:45,-07:00,2025-04-18T18:46:45-07:00,0,23
style.css,231,css,bf18d0aa,Angel Tinoco,2025-04-18,18:46:45,-07:00,2025-04-18T18:46:45-07:00,0,14
style.css,232,css,bf18d0aa,Angel Tinoco,2025-04-18,18:46:45,-07:00,2025-04-18T18:46:45-07:00,0,0
style.css,233,css,bf18d0aa,Angel Tinoco,2025-04-18,18:46:45,-07:00,2025-04-18T18:46:45-07:00,0,0
style.css,234,css,bf18d0aa,Angel Tinoco,2025-04-18,18:46:45,-07:00,2025-04-18T18:46:45-07:00,0,21
style.css,235,css,bf18d0aa,Angel Tinoco,2025-04-18,18:46:45,-07:00,2025-04-18T18:46:45-07:00,0,14
style.css,236,css,bf18d0aa,Angel Tinoco,2025-04-18,18:46:45,-07:00,2025-04-18T18:46:45-07:00,0,19
style.css,237,css,bf18d0aa,Angel Tinoco,2025-04-18,18:46:45,-07:00,2025-04-18T18:46:45-07:00,0,15
style.css,238,css,bf18d0aa,Angel Tinoco,2025-04-18,18:46:45,-07:00,2025-04-18T18:46:45-07:00,0,0
style.css,239,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,0
style.css,240,css,61d4a1c0,Angel Tinoco,2025-05-03,01:26:03,-07:00,2025-05-03T01:26:03-07:00,0,39
style.css,241,css,61d4a1c0,Angel Tinoco,2025-05-03,01:26:03,-07:00,2025-05-03T01:26:03-07:00,0,29
style.css,242,css,61d4a1c0,Angel Tinoco,2025-05-03,01:26:03,-07:00,2025-05-03T01:26:03-07:00,0,39
style.css,243,css,a8322988,Angel Tinoco,2025-04-26,20:53:55,-07:00,2025-04-26T20:53:55-07:00,0,18
style.css,244,css,a8322988,Angel Tinoco,2025-04-26,20:53:55,-07:00,2025-04-26T20:53:55-07:00,0,13
style.css,245,css,a8322988,Angel Tinoco,2025-04-26,20:53:55,-07:00,2025-04-26T20:53:55-07:00,0,37
style.css,246,css,a8322988,Angel Tinoco,2025-04-26,20:53:55,-07:00,2025-04-26T20:53:55-07:00,0,55
style.css,247,css,a8322988,Angel Tinoco,2025-04-26,20:53:55,-07:00,2025-04-26T20:53:55-07:00,0,18
style.css,248,css,a8322988,Angel Tinoco,2025-04-26,20:53:55,-07:00,2025-04-26T20:53:55-07:00,0,14
style.css,249,css,a8322988,Angel Tinoco,2025-04-26,20:53:55,-07:00,2025-04-26T20:53:55-07:00,0,0
style.css,250,css,a8322988,Angel Tinoco,2025-04-26,20:53:55,-07:00,2025-04-26T20:53:55-07:00,0,0
style.css,251,css,a8322988,Angel Tinoco,2025-04-26,20:53:55,-07:00,2025-04-26T20:53:55-07:00,0,17
style.css,252,css,a8322988,Angel Tinoco,2025-04-26,20:53:55,-07:00,2025-04-26T20:53:55-07:00,0,18
style.css,253,css,a8322988,Angel Tinoco,2025-04-26,20:53:55,-07:00,2025-04-26T20:53:55-07:00,0,45
style.css,254,css,a8322988,Angel Tinoco,2025-04-26,20:53:55,-07:00,2025-04-26T20:53:55-07:00,0,58
style.css,255,css,a8322988,Angel Tinoco,2025-04-26,20:53:55,-07:00,2025-04-26T20:53:55-07:00,0,0
style.css,256,css,a8322988,Angel Tinoco,2025-04-26,20:53:55,-07:00,2025-04-26T20:53:55-07:00,0,0
style.css,257,css,a8322988,Angel Tinoco,2025-04-26,20:53:55,-07:00,2025-04-26T20:53:55-07:00,0,18
style.css,258,css,61d4a1c0,Angel Tinoco,2025-05-03,01:26:03,-07:00,2025-05-03T01:26:03-07:00,0,11
style.css,259,css,a8322988,Angel Tinoco,2025-04-26,20:53:55,-07:00,2025-04-26T20:53:55-07:00,0,17
style.css,260,css,ef869ac8,Angel Tinoco,2025-04-26,21:02:37,-07:00,2025-04-26T21:02:37-07:00,0,23
style.css,261,css,a8322988,Angel Tinoco,2025-04-26,20:53:55,-07:00,2025-04-26T20:53:55-07:00,0,0
style.css,262,css,a8322988,Angel Tinoco,2025-04-26,20:53:55,-07:00,2025-04-26T20:53:55-07:00,0,0
style.css,263,css,a8322988,Angel Tinoco,2025-04-26,20:53:55,-07:00,2025-04-26T20:53:55-07:00,0,18
style.css,264,css,61d4a1c0,Angel Tinoco,2025-05-03,01:26:03,-07:00,2025-05-03T01:26:03-07:00,0,11
style.css,265,css,ef869ac8,Angel Tinoco,2025-04-26,21:02:37,-07:00,2025-04-26T21:02:37-07:00,0,23
style.css,266,css,a8322988,Angel Tinoco,2025-04-26,20:53:55,-07:00,2025-04-26T20:53:55-07:00,0,0
style.css,267,css,aae578ac,Angel Tinoco,2025-05-02,21:05:19,-07:00,2025-05-02T21:05:19-07:00,0,0
style.css,268,css,61d4a1c0,Angel Tinoco,2025-05-03,01:26:03,-07:00,2025-05-03T01:26:03-07:00,0,39
style.css,269,css,61d4a1c0,Angel Tinoco,2025-05-03,01:26:03,-07:00,2025-05-03T01:26:03-07:00,0,24
style.css,270,css,61d4a1c0,Angel Tinoco,2025-05-03,01:26:03,-07:00,2025-05-03T01:26:03-07:00,0,39
style.css,271,css,aae578ac,Angel Tinoco,2025-05-02,21:05:19,-07:00,2025-05-02T21:05:19-07:00,0,17
style.css,272,css,aae578ac,Angel Tinoco,2025-05-02,21:05:19,-07:00,2025-05-02T21:05:19-07:00,0,17
style.css,273,css,aae578ac,Angel Tinoco,2025-05-02,21:05:19,-07:00,2025-05-02T21:05:19-07:00,0,0
style.css,274,css,aae578ac,Angel Tinoco,2025-05-02,21:05:19,-07:00,2025-05-02T21:05:19-07:00,0,0
style.css,275,css,aae578ac,Angel Tinoco,2025-05-02,21:05:19,-07:00,2025-05-02T21:05:19-07:00,0,38
style.css,276,css,aae578ac,Angel Tinoco,2025-05-02,21:05:19,-07:00,2025-05-02T21:05:19-07:00,0,14
style.css,277,css,61d4a1c0,Angel Tinoco,2025-05-03,01:26:03,-07:00,2025-05-03T01:26:03-07:00,0,11
style.css,278,css,61d4a1c0,Angel Tinoco,2025-05-03,01:26:03,-07:00,2025-05-03T01:26:03-07:00,0,31
style.css,279,css,61d4a1c0,Angel Tinoco,2025-05-03,01:26:03,-07:00,2025-05-03T01:26:03-07:00,0,35
style.css,280,css,aae578ac,Angel Tinoco,2025-05-02,21:05:19,-07:00,2025-05-02T21:05:19-07:00,0,17
style.css,281,css,aae578ac,Angel Tinoco,2025-05-02,21:05:19,-07:00,2025-05-02T21:05:19-07:00,0,16
style.css,282,css,aae578ac,Angel Tinoco,2025-05-02,21:05:19,-07:00,2025-05-02T21:05:19-07:00,0,0
style.css,283,css,57cbefc4,Angel Tinoco,2025-05-02,21:43:39,-07:00,2025-05-02T21:43:39-07:00,0,0
style.css,284,css,61d4a1c0,Angel Tinoco,2025-05-03,01:26:03,-07:00,2025-05-03T01:26:03-07:00,0,39
style.css,285,css,61d4a1c0,Angel Tinoco,2025-05-03,01:26:03,-07:00,2025-05-03T01:26:03-07:00,0,22
style.css,286,css,61d4a1c0,Angel Tinoco,2025-05-03,01:26:03,-07:00,2025-05-03T01:26:03-07:00,0,39
style.css,287,css,57cbefc4,Angel Tinoco,2025-05-02,21:43:39,-07:00,2025-05-02T21:43:39-07:00,0,19
style.css,288,css,57cbefc4,Angel Tinoco,2025-05-02,21:43:39,-07:00,2025-05-02T21:43:39-07:00,0,15
style.css,289,css,57cbefc4,Angel Tinoco,2025-05-02,21:43:39,-07:00,2025-05-02T21:43:39-07:00,0,17
style.css,290,css,57cbefc4,Angel Tinoco,2025-05-02,21:43:39,-07:00,2025-05-02T21:43:39-07:00,0,17
style.css,291,css,57cbefc4,Angel Tinoco,2025-05-02,21:43:39,-07:00,2025-05-02T21:43:39-07:00,0,0
style.css,292,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,0
style.css,293,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,39
style.css,294,css,61d4a1c0,Angel Tinoco,2025-05-03,01:26:03,-07:00,2025-05-03T01:26:03-07:00,0,35
style.css,295,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,39
style.css,296,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,0
style.css,297,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,43
style.css,298,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,11
style.css,299,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,13
style.css,300,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,8
style.css,301,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,19
style.css,302,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,13
style.css,303,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,0
style.css,304,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,0
style.css,305,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,19
style.css,306,css,d78e6d99,Angel Tinoco,2025-05-02,23:52:04,-07:00,2025-05-02T23:52:04-07:00,0,65
style.css,307,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,8
style.css,308,css,d78e6d99,Angel Tinoco,2025-05-02,23:52:04,-07:00,2025-05-02T23:52:04-07:00,0,7
style.css,309,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,16
style.css,310,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,9
style.css,311,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,10
style.css,312,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,13
style.css,313,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,58
style.css,314,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,10
style.css,315,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,0
style.css,316,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,0
style.css,317,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,24
style.css,318,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,21
style.css,319,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,13
style.css,320,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,19
style.css,321,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,10
style.css,322,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,22
style.css,323,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,14
style.css,324,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,18
style.css,325,css,61d4a1c0,Angel Tinoco,2025-05-03,01:26:03,-07:00,2025-05-03T01:26:03-07:00,0,15
style.css,326,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,0
style.css,327,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,0
style.css,328,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,29
style.css,329,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,21
style.css,330,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,10
style.css,331,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,11
style.css,332,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,30
style.css,333,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,18
style.css,334,css,bff508c1,Angel Tinoco,2025-05-02,23:45:22,-07:00,2025-05-02T23:45:22-07:00,0,0
